1;1;0,21
2;1,2;0,25
3;1,4;0,3
4;1,6;0,35
5;1,8;0,4
6;2;0,45
7;2,2;0,5
8;2,4;0,55
9;2,6;0,61
10;2,8;0,66
11;3;0,73
12;3,2;0,79
13;3,4;0,86
14;3,6;0,93
15;3,8;1
16;4;1,08
17;4,2;1,17
18;4,4;1,26
19;4,6;1,36
20;4,8;1,47
21;5;1,59
22;5,2;1,72
23;5,4;1,86
24;5,6;2,01
25;5,8;2,18
26;6;2,37
27;6,2;2,58
28;6,4;2,82
29;6,6;3,08
30;6,8;3,37
31;7;3,69
32;7,2;4,04
33;7,4;4,41
34;7,6;4,79
35;7,8;5,16
36;8;5,49
37;8,2;5,73
38;8,4;5,85
39;8,6;5,85
40;8,8;5,72
41;9;5,5
42;9,2;5,22
43;9,4;4,91
44;9,6;4,6
45;9,8;4,3
46;10;4,02
47;10,2;3,79
48;10,4;3,52
49;10,6;3,31
50;10,8;3,11
51;11;2,94
52;11,2;2,88
53;11,4;2,63
54;11,6;2,5
55;11,8;2,38
56;12;2,27
57;12,2;2,16
58;12,4;2,07
59;12,6;2,98
60;12,8;1,9
61;13;1,52
62;13,2;1,76
63;13,4;1,69
64;13,6;1,63
65;13,8;1,57
66;14;1,51
67;14,2;1,46
68;14,4;1,41
69;14,6;1,37
70;14,8;1,32
71;15;1,28
72;15,2;1,24
73;15,4;1,21
74;15,6;1,17
75;15,8;1,13
76;16;1,1
77;16,2;1,07
78;16,4;1,04
79;16,6;1,01
80;16,8;0,98
81;17;0,96
82;17,2;0,93
83;17,4;0,9
84;17,6;0,88
85;17,8;0,86
86;18;0,83
87;18,2;0,81
88;18,4;0,79
89;18,6;0,77
90;18,8;0,75
91;19;0,73
92;19,2;0,71
93;19,4;0,69
94;19,6;0,68
95;19,8;0,66
96;20;0,64
