1;1;0,35
2;1,2;0,42
3;1,4;0,5
4;1,6;0,58
5;1,8;0,67
6;2;0,76
7;2,2;0,85
8;2,4;0,95
9;2,6;1,05
10;2,8;1,17
11;3;1,29
12;3,2;1,42
13;3,4;1,57
14;3,6;1,73
15;3,8;1,9
16;4;2,09
17;4,2;2,31
18;4,4;2,56
19;4,6;2,84
20;4,8;3,17
21;5;3,54
22;5,2;3,97
23;5,4;4,47
24;5,6;5,04
25;5,8;5,69
26;6;6,4
27;6,2;7,1
28;6,4;7,71
29;6,6;8,1
30;6,8;8,15
31;7;7,9
32;7,2;7,43
33;7,4;6,86
34;7,6;6,28
35;7,8;5,73
36;8;5,24
37;8,2;4,8
38;8,4;4,43
39;8,6;4,1
40;8,8;3,81
41;9;3,55
42;9,2;3,33
43;9,4;3,13
44;9,6;2,95
45;9,8;2,79
46;10;2,65
47;10,2;2,52
48;10,4;2,4
49;10,6;2,29
50;10,8;2,19
51;11;2,1
52;11,2;2,02
53;11,4;1,94
54;11,6;1,86
55;11,8;1,8
56;12;1,73
57;12,2;1,67
58;12,4;1,62
59;12,6;1,56
60;12,8;1,51
61;13;1,46
62;13,2;1,42
63;13,4;1,38
64;13,6;1,33
65;13,8;1,29
66;14;1,26
67;14,2;1,22
68;14,4;1,19
69;14,6;1,16
70;14,8;1,12
71;15;1,09
72;15,2;1,06
73;15,4;1,04
74;15,6;1,01
75;15,8;0,98
76;16;0,96
77;16,2;0,94
78;16,4;0,91
79;16,6;0,89
80;16,8;0,87
81;17;0,85
82;17,2;0,82
83;17,4;0,8
84;17,6;0,78
85;17,8;0,76
86;18;0,75
87;18,2;0,73
88;18,4;0,71
89;18,6;0,69
90;18,8;0,68
91;19;0,66
92;19,2;0,64
93;19,4;0,63
94;19,6;0,61
95;19,8;0,6
96;20;0,58
