1;1;0,35
2;1,2;0,42
3;1,4;0,5
4;1,6;0,58
5;1,8;0,67
6;2;0,75
7;2,2;0,85
8;2,4;0,94
9;2,6;1,05
10;2,8;1,16
11;3;1,28
12;3,2;1,41
13;3,4;1,54
14;3,6;1,7
15;3,8;1,86
16;4;2,04
17;4,2;2,24
18;4,4;2,47
19;4,6;2,71
20;4,8;2,99
21;5;3,3
22;5,2;3,63
23;5,4;4
24;5,6;4,4
25;5,8;4,81
26;6;5,21
27;6,2;5,57
28;6,4;5,85
29;6,6;6
30;6,8;6,02
31;7;5,91
32;7,2;5,69
33;7,4;5,41
34;7,6;5,1
35;7,8;4,79
36;8;4,48
37;8,2;4,19
38;8,4;3,93
39;8,6;3,69
40;8,8;3,47
41;9;3,27
42;9,2;3,09
43;9,4;2,92
44;9,6;2,77
45;9,8;2,64
46;10;2,52
47;10,2;2,4
48;10,4;2,3
49;10,6;2,2
50;10,8;2,11
51;11;2,02
52;11,2;1,95
53;11,4;1,87
54;11,6;1,81
55;11,8;1,74
56;12;1,68
57;12,2;1,63
58;12,4;1,57
59;12,6;1,52
60;12,8;1,48
61;13;1,43
62;13,2;1,39
63;13,4;1,35
64;13,6;1,31
65;13,8;1,27
66;14;1,23
67;14,2;1,2
68;14,4;1,17
69;14,6;1,13
70;14,8;1,1
71;15;1,08
72;15,2;1,05
73;15,4;1,02
74;15,6;0,99
75;15,8;0,97
76;16;0,94
77;16,2;0,92
78;16,4;0,9
79;16,6;0,88
80;16,8;0,85
81;17;0,83
82;17,2;0,81
83;17,4;0,79
84;17,6;0,77
85;17,8;0,75
86;18;0,74
87;18,2;0,72
88;18,4;0,7
89;18,6;0,68
90;18,8;0,67
91;19;0,65
92;19,2;0,63
93;19,4;0,62
94;19,6;0,61
95;19,8;0,6
96;20;0,58
